"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2070","deve consultar o quantitativo de entregas com sucesso para 1 base","Consultar Quantitativo de Entregas por Base","Fri May 08 19:58:17 UTC 2026","passed","Fri May 08 19:58:19 UTC 2026","","","",""
"","250","Usuário interno sem permissão de simulaçã não deve consultar o quantitativo de entregas na simulação","Simulação com usuario interno","Fri May 08 19:58:18 UTC 2026","passed","Fri May 08 19:58:18 UTC 2026","","","",""
"","866","deve consultar os detalhes das entregas com sucesso passando período de 15 dias","Consultar Detalhes das Entregas por Base","Fri May 08 19:58:19 UTC 2026","passed","Fri May 08 19:58:20 UTC 2026","","","",""
"","482","Usuário interno com token expirado não deve consultar o quantitativo de entregas na simulação","Simulação com usuario interno","Fri May 08 19:58:17 UTC 2026","passed","Fri May 08 19:58:18 UTC 2026","","","",""
"","909","pesquisar por número da nota fiscal na simulacao","Simulação com usuario interno","Fri May 08 19:58:21 UTC 2026","passed","Fri May 08 19:58:22 UTC 2026","","","",""
"","404","não deve consultar os detalhes das entregas ao utilizar token expirado","Consultar Detalhes das Entregas por Base","Fri May 08 19:58:24 UTC 2026","passed","Fri May 08 19:58:25 UTC 2026","","","",""
"","671","deve consultar o quantitativo de entregas com sucesso sem enviar datas (default 15 dias)","Consultar Quantitativo de Entregas por Base","Fri May 08 19:58:20 UTC 2026","passed","Fri May 08 19:58:20 UTC 2026","","","",""
"","2112","deve consultar os detalhes das entregas com sucesso sem enviar nenhum parâmetro","Consultar Detalhes das Entregas por Base","Fri May 08 19:58:17 UTC 2026","passed","Fri May 08 19:58:19 UTC 2026","","","",""
"","787","deve consultar o quantitativo de entregas com sucesso para várias bases","Consultar Quantitativo de Entregas por Base","Fri May 08 19:58:19 UTC 2026","passed","Fri May 08 19:58:20 UTC 2026","","","",""
"","569","deve buscar nota fiscal por número com sucesso","Consultar Detalhes das Entregas por Base","Fri May 08 19:58:24 UTC 2026","passed","Fri May 08 19:58:24 UTC 2026","","","",""
"","2245","deve consultar os detalhes das entregas ENTREGUES com sucesso","Consultar Detalhes das Entregas por Base","Fri May 08 19:58:20 UTC 2026","passed","Fri May 08 19:58:22 UTC 2026","","","",""
"","751","consultar os detalhes das entregas na simulacao","Simulação com usuario interno","Fri May 08 19:58:20 UTC 2026","passed","Fri May 08 19:58:21 UTC 2026","","","",""
"","581","deve consultar o quantitativo de entregas sem resultados (retorno vazio)","Consultar Quantitativo de Entregas por Base","Fri May 08 19:58:21 UTC 2026","passed","Fri May 08 19:58:21 UTC 2026","","","",""
"","848","deve consultar os detalhes das entregas NÃO ENTREGUES com sucesso","Consultar Detalhes das Entregas por Base","Fri May 08 19:58:22 UTC 2026","passed","Fri May 08 19:58:23 UTC 2026","","","",""
"","1780","consultar o quantitativo de entregas na simulação","Simulação com usuario interno","Fri May 08 19:58:18 UTC 2026","passed","Fri May 08 19:58:20 UTC 2026","","","",""
"","375","não deve consultar o quantitativo de entregas ao utilizar token expirado","Consultar Quantitativo de Entregas por Base","Fri May 08 19:58:20 UTC 2026","passed","Fri May 08 19:58:21 UTC 2026","","","",""
"","797","deve consultar os detalhes das entregas SEM REGISTRO com sucesso","Consultar Detalhes das Entregas por Base","Fri May 08 19:58:23 UTC 2026","passed","Fri May 08 19:58:24 UTC 2026","","","",""
