"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","947","deve consultar os detalhes das entregas SEM REGISTRO com sucesso","Consultar Detalhes das Entregas por Base","Thu May 07 20:32:11 UTC 2026","passed","Thu May 07 20:32:12 UTC 2026","","","",""
"","914","consultar os detalhes das entregas na simulacao","Simulação com usuario interno","Thu May 07 20:32:09 UTC 2026","passed","Thu May 07 20:32:10 UTC 2026","","","",""
"","2091","deve consultar os detalhes das entregas com sucesso sem enviar nenhum parâmetro","Consultar Detalhes das Entregas por Base","Thu May 07 20:32:04 UTC 2026","passed","Thu May 07 20:32:06 UTC 2026","","","",""
"","369","Usuário interno sem permissão de simulaçã não deve consultar o quantitativo de entregas na simulação","Simulação com usuario interno","Thu May 07 20:32:06 UTC 2026","passed","Thu May 07 20:32:07 UTC 2026","","","",""
"","2184","deve consultar os detalhes das entregas ENTREGUES com sucesso","Consultar Detalhes das Entregas por Base","Thu May 07 20:32:07 UTC 2026","passed","Thu May 07 20:32:10 UTC 2026","","","",""
"","1028","deve consultar os detalhes das entregas com sucesso passando período de 15 dias","Consultar Detalhes das Entregas por Base","Thu May 07 20:32:06 UTC 2026","passed","Thu May 07 20:32:07 UTC 2026","","","",""
"","1078","deve consultar o quantitativo de entregas com sucesso para várias bases","Consultar Quantitativo de Entregas por Base","Thu May 07 20:32:06 UTC 2026","passed","Thu May 07 20:32:07 UTC 2026","","","",""
"","403","não deve consultar os detalhes das entregas ao utilizar token expirado","Consultar Detalhes das Entregas por Base","Thu May 07 20:32:12 UTC 2026","passed","Thu May 07 20:32:12 UTC 2026","","","",""
"","381","Usuário interno com token expirado não deve consultar o quantitativo de entregas na simulação","Simulação com usuario interno","Thu May 07 20:32:06 UTC 2026","passed","Thu May 07 20:32:06 UTC 2026","","","",""
"","2103","consultar o quantitativo de entregas na simulação","Simulação com usuario interno","Thu May 07 20:32:07 UTC 2026","passed","Thu May 07 20:32:09 UTC 2026","","","",""
"","998","deve consultar os detalhes das entregas NÃO ENTREGUES com sucesso","Consultar Detalhes das Entregas por Base","Thu May 07 20:32:10 UTC 2026","passed","Thu May 07 20:32:11 UTC 2026","","","",""
"","2052","deve consultar o quantitativo de entregas com sucesso para 1 base","Consultar Quantitativo de Entregas por Base","Thu May 07 20:32:04 UTC 2026","passed","Thu May 07 20:32:06 UTC 2026","","","",""
"","697","deve consultar o quantitativo de entregas sem resultados (retorno vazio)","Consultar Quantitativo de Entregas por Base","Thu May 07 20:32:09 UTC 2026","passed","Thu May 07 20:32:09 UTC 2026","","","",""
"","413","não deve consultar o quantitativo de entregas ao utilizar token expirado","Consultar Quantitativo de Entregas por Base","Thu May 07 20:32:08 UTC 2026","passed","Thu May 07 20:32:09 UTC 2026","","","",""
"","876","deve consultar o quantitativo de entregas com sucesso sem enviar datas (default 15 dias)","Consultar Quantitativo de Entregas por Base","Thu May 07 20:32:07 UTC 2026","passed","Thu May 07 20:32:08 UTC 2026","","","",""
